cift,pasife_alinacak_listing_id,sira,korunan_listing_id,korunan_edisyon,islem,pin,edisyon
Capricorn + Capricorn,4552564069,2,4556474184,Pure White,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Capricorn,4555425496,3,4556474184,Pure White,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Capricorn,4555141920,4,4556474184,Pure White,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Gemini,4552579540,1,4553821493,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Gemini,4555425754,2,4553821493,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Gemini,4556459371,3,4553821493,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Gemini,4555142502,4,4553821493,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Leo,4552579688,1,4553822053,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Leo,4555415041,2,4553822053,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Leo,4556474530,3,4553822053,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Leo,4555143126,4,4553822053,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
Capricorn + Libra,4555143408,1,4553832904,Midnight Blue,deactivateListing (YAZMA - ayri onay),PIN_ESLEME.csv: bu ilanin pini kirilacak,ENVANTER.csv'den eslenecek (bu CSV'de yok)
